,pl_name,sy_snum,hostname,st_spectype
0,11 Com b,2,11 Com,G8 III
1,11 UMi b,1,11 UMi,K4 III
2,14 And b,1,14 And,K0 III
3,14 Her b,1,14 Her,K0
4,16 Cyg B b,3,16 Cyg B,G2.5 V
5,17 Sco b,1,17 Sco,K3 III
6,18 Del b,2,18 Del,G6 III
7,1RXS J160929.1-210524 b,1,1RXS J160929.1-210524,K7 V
8,24 Boo b,1,24 Boo,G3 IV
11,2M0437 b,1,2MASS J04372171+2651014,M V
12,2MASS J01033563-5515561 AB b,2,2MASS J01033563-5515561 A,M5.5/M6
13,2MASS J01225093-2439505 b,1,2MASS J01225093-2439505,M3.5 V
14,2MASS J02192210-3925225 b,1,2MASS J02192210-3925225,M6
15,2MASS J0249-0557 c,2,2MASS J0249-0557 A,M6 V
17,2MASS J04414489+2301513 b,1,2MASS J04414489+2301513,M8.5
20,2MASS J12073346-3932539 b,1,2MASS J12073346-3932539,M8
23,2MASS J22362452+4751425 b,1,2MASS J22362452+4751425,K7 V
24,2MASS J22501512+2325342 b,1,2MASS J22501512+2325342,M3
25,4 UMa b,1,4 UMa,K1 III
26,47 UMa b,1,47 UMa,G0 V
27,47 UMa c,1,47 UMa,G1 V
29,51 Eri b,3,51 Eri,F0 IV
31,55 Cnc B b,2,55 Cnc B,M4.5 V
32,55 Cnc B c,2,55 Cnc B,M4.5 V
33,55 Cnc b,2,55 Cnc,K0 IV-V
34,55 Cnc c,2,55 Cnc,G8 V
35,55 Cnc d,2,55 Cnc,G8 V
36,55 Cnc e,2,55 Cnc,G8 V
37,55 Cnc f,2,55 Cnc,G8 V
38,6 Lyn b,1,6 Lyn,K0 IV
39,61 Vir b,1,61 Vir,G5 V
40,61 Vir c,1,61 Vir,G5 V
41,61 Vir d,1,61 Vir,G5 V
42,7 CMa b,1,7 CMa,K1 III
45,75 Cet b,2,75 Cet,G3 III
46,75 Cet c,2,75 Cet,G3 III
47,8 UMi b,1,8 UMi,K0
48,81 Cet b,1,81 Cet,G5 III
49,91 Aqr b,3,91 Aqr,K0 III
51,AB Pic b,1,AB Pic,K2 V
52,AF Lep b,1,AF Lep,F8 V
53,AT2021ueyL b,1,AT2021ueyL,M V
54,AU Mic b,1,AU Mic,M1
55,AU Mic c,1,AU Mic,M1 V
58,BD+05 4868 A b,2,BD+05 4868 A,K V
59,BD+14 4559 b,1,BD+14 4559,K2 V
61,BD+15 2940 b,1,BD+15 2940,K0
62,BD+20 2457 b,1,BD+20 2457,K2 II
63,BD+20 2457 c,1,BD+20 2457,K2 II
64,BD+20 274 b,1,BD+20 274,K5 III
65,BD+20 594 b,1,BD+20 594,G
68,BD+45 564 b,1,BD+45 564,K1
69,BD+48 738 b,1,BD+48 738,K0 III
71,BD+49 828 b,1,BD+49 828,K0
72,BD+55 362 b,1,BD+55 362,K3
73,BD+60 1417 b,1,BD+60 1417,K0
74,BD+63 1405 b,1,BD+63 1405,K0
75,BD-06 1339 c,1,BD-06 1339,K7/M0 V
76,BD-08 2823 b,1,BD-08 2823,K3 V
77,BD-08 2823 c,1,BD-08 2823,K3 V
78,BD-10 3166 b,1,BD-10 3166,K0 V
79,BD-11 4672 b,1,BD-11 4672,K7 V
83,BD-17 63 b,1,BD-17 63,K5 V
84,BD-210397 b,1,BD-210397,K7 V
85,BD-210397 c,1,BD-210397,K7 V
87,BEBOP-4 AB b,2,BEBOP-4 A,G3 V
88,Barnard b,1,Barnard's star,M3.5-4 V
89,Barnard c,1,Barnard's star,M3.5-4 V
90,Barnard d,1,Barnard's star,M3.5-4 V
91,Barnard e,1,Barnard's star,M3.5-4 V
92,CD Cet b,1,CD Cet,M5.0 V
93,CD-35 2722 b,1,CD-35 2722,M1 V
95,CFHTWIR-Oph 98 b,1,CFHTWIR-Oph 98 A,M9-L1
96,CHXR 73 b,1,CHXR 73,M3.5
98,COCONUTS-2 b,1,COCONUTS-2 A,M3 V
100,CWISEP J193518.59-154620.3 b,1,CWISEP J193518.59-154620.3,Y
101,CoRoT-1 b,1,CoRoT-1,G0 V
102,CoRoT-10 b,1,CoRoT-10,K1 V
103,CoRoT-11 b,1,CoRoT-11,F6 V
105,CoRoT-13 b,1,CoRoT-13,G0 V
106,CoRoT-14 b,1,CoRoT-14,F9 V
107,CoRoT-16 b,1,CoRoT-16,G5 V
108,CoRoT-17 b,1,CoRoT-17,G2 V
109,CoRoT-18 b,1,CoRoT-18,G9 V
110,CoRoT-19 b,1,CoRoT-19,F9 V
112,CoRoT-20 b,1,CoRoT-20,G2 V
114,CoRoT-21 b,1,CoRoT-21,F8 IV
115,CoRoT-22 b,1,CoRoT-22,G3 V
116,CoRoT-23 b,1,CoRoT-23,G0 V
117,CoRoT-24 b,1,CoRoT-24,K1 V
118,CoRoT-24 c,1,CoRoT-24,K1 V
119,CoRoT-25 b,1,CoRoT-25,F9
120,CoRoT-26 b,1,CoRoT-26,G5
121,CoRoT-27 b,1,CoRoT-27,G2
122,CoRoT-28 b,1,CoRoT-28,G8/9 IV
123,CoRoT-29 b,1,CoRoT-29,K0 V
124,CoRoT-3 b,1,CoRoT-3,F3 V
125,CoRoT-30 b,1,CoRoT-30,G3 V
126,CoRoT-31 b,1,CoRoT-31,G2 IV
127,CoRoT-32 b,1,CoRoT-32,G0 VI
128,CoRoT-35 b,1,CoRoT-35,F6 V
129,CoRoT-36 b,1,CoRoT-36,F3 V
131,CoRoT-5 b,1,CoRoT-5,F9 V
132,CoRoT-6 b,1,CoRoT-6,F9 V
133,CoRoT-7 b,1,CoRoT-7,G9 V
134,CoRoT-7 c,1,CoRoT-7,G9 V
135,CoRoT-7 d,1,CoRoT-7,G9 V
136,CoRoT-8 b,1,CoRoT-8,K1 V
137,CoRoT-9 b,2,CoRoT-9,G3 V
138,DENIS-P J082303.1-491201 b,1,DENIS-P J082303.1-491201,L1.5
139,DH Tau b,1,DH Tau,M0.5
140,DMPP-1 b,1,DMPP-1,F8 V
141,DMPP-1 c,1,DMPP-1,F8 V
142,DMPP-1 d,1,DMPP-1,F8 V
143,DMPP-1 e,1,DMPP-1,F8 V
144,DMPP-2 b,1,DMPP-2,F5 V
147,DMPP-3 A b,2,DMPP-3 A,K0 V
148,DMPP-4 b,1,DMPP-4,F5-F8 V
151,DMPP-7 b,1,DMPP-7,G1 V
155,DS Tuc A b,2,DS Tuc A,G6 V
177,EPIC 211945201 b,1,EPIC 211945201,G0
186,EPIC 212737443 b,1,EPIC 212737443,K3
187,EPIC 212737443 c,1,EPIC 212737443,K3
190,EPIC 220674823 b,1,EPIC 220674823,G5 V
191,EPIC 220674823 c,1,EPIC 220674823,G5 V
194,EPIC 246851721 b,2,EPIC 246851721,F5 V
196,EPIC 249893012 b,1,EPIC 249893012,G8 IV/V
197,EPIC 249893012 c,1,EPIC 249893012,G8 IV/V
198,EPIC 249893012 d,1,EPIC 249893012,G8 IV/V
199,FU Tau b,1,FU Tau,M7.25
200,G 192-15 b,1,G 192-15,M5.0 V
201,G 192-15 c,1,G 192-15,M5.0 V
203,G 261-6 b,1,G 261-6,M5.5 V
204,G 264-012 b,1,G 264-012,M4.0 V
205,G 264-012 c,1,G 264-012,M4.0 V
206,G 268-110 b,1,G 268-110,M5.0 V
207,G 9-40 b,1,G 9-40,M2.5 V
208,GJ 1002 b,1,GJ 1002,M5.5 V
209,GJ 1002 c,1,GJ 1002,M5.5 V
210,GJ 1061 b,1,GJ 1061,M5.5 V
211,GJ 1061 c,1,GJ 1061,M5.5 V
212,GJ 1061 d,1,GJ 1061,M5.5 V
213,GJ 1132 b,1,GJ 1132,M4.5 V
214,GJ 1132 c,1,GJ 1132,M4.5 V
215,GJ 1137 c,1,HD 93083,K2 IV-V
218,GJ 1151 c,1,GJ 1151,M 4.5V
219,GJ 1214 b,1,GJ 1214,M4 V
220,GJ 1252 b,1,GJ 1252,M3
221,GJ 1265 b,1,GJ 1265,M4.5 V
222,GJ 1289 b,1,GJ 1289,M4.5 Ve
223,GJ 143 b,1,GJ 143,K4.5
224,GJ 15 A c,2,GJ 15 A,M1
225,GJ 160.2 b,1,GJ 160.2,M0 V
229,GJ 179 b,1,GJ 179,M2 V
230,GJ 180 b,1,GJ 180,M2 V
231,GJ 180 c,1,GJ 180,M2 V
236,GJ 2126 b,1,GJ 2126,M0 V
237,GJ 238 b,1,GJ 238,M2.5 V
238,GJ 251 b,1,GJ 251,M3.0 V
240,GJ 27.1 b,1,GJ 27.1,M0.5 V
241,GJ 273 b,1,GJ 273,M3.5
242,GJ 273 c,1,GJ 273,M3.5
243,GJ 3021 b,2,GJ 3021,G6 V
245,GJ 3090 b,1,GJ 3090,M2 V
246,GJ 3090 c,1,GJ 3090,M2 V
247,GJ 3138 b,1,GJ 3138,M0
248,GJ 3138 c,1,GJ 3138,M0
249,GJ 3138 d,1,GJ 3138,M0
250,GJ 317 b,1,GJ 317,M2.5 V
251,GJ 317 c,1,GJ 317,M3.5 V
253,GJ 328 b,1,GJ 328,M0.0
254,GJ 328 c,1,GJ 328,M0.0
255,GJ 3293 b,1,GJ 3293,M2.5
256,GJ 3293 c,1,GJ 3293,M2.5
257,GJ 3293 d,1,GJ 3293,M2.5
258,GJ 3293 e,1,GJ 3293,M2.5
259,GJ 3323 b,1,GJ 3323,M4
260,GJ 3323 c,1,GJ 3323,M4
261,GJ 3341 b,1,GJ 3341,M2.5
262,GJ 3378 b,1,GJ 3378,M4 V
263,GJ 338 B b,2,GJ 338 B,M0 V
264,GJ 341 b,1,GJ 341,M1
265,GJ 3470 b,1,GJ 3470,M1.5
268,GJ 3512 b,1,GJ 3512,M5.5 V
269,GJ 3512 c,1,GJ 3512,M5.5 V
270,GJ 357 b,1,GJ 357,M2.5 V
271,GJ 357 c,1,GJ 357,M2.5 V
272,GJ 357 d,1,GJ 357,M2.5 V
273,GJ 3634 b,1,GJ 3634,M2.5
274,GJ 367 b,1,GJ 367,M1.0 V
275,GJ 367 c,1,GJ 367,M1.0 V
276,GJ 367 d,1,GJ 367,M1.0 V
277,GJ 3779 b,1,GJ 3779,M4.0 V
278,GJ 3929 b,1,GJ 3929,M3.5 V
280,GJ 393 b,1,GJ 393,M2.0 V
281,GJ 3942 b,1,GJ 3942,M0
282,GJ 3988 b,1,GJ 3988,M4.5 V
283,GJ 3998 b,1,GJ 3998,M1
284,GJ 3998 c,1,GJ 3998,M1
286,GJ 411 b,1,GJ 411,M1.5 V
287,GJ 414 A b,2,GJ 414 A,K7 V
288,GJ 414 A c,2,GJ 414 A,K7 V
289,GJ 422 b,1,GJ 422,M3.5 V
290,GJ 4274 b,1,GJ 4274,M4.5 V
291,GJ 4274 c,1,GJ 4274,M4.5 V
292,GJ 4276 b,1,GJ 4276,M4.0
293,GJ 433 b,1,GJ 433,M1.5
294,GJ 433 c,1,GJ 433,M1.5 V
296,GJ 436 b,1,GJ 436,M2.5 V
297,GJ 463 b,1,GJ 463,M3 V
298,GJ 480 b,1,GJ 480,M3.5 Ve
299,GJ 486 b,1,GJ 486,M3.5 V
300,GJ 504 b,1,GJ 504,G0 V
301,GJ 508.2 b,1,GJ 508.2,M1.0 V
302,GJ 514 b,1,GJ 514,M0.5-1.0 V
303,GJ 536 b,1,GJ 536,M1 V
305,GJ 581 b,1,GJ 581,M3 V
306,GJ 581 c,1,GJ 581,M3 V
307,GJ 581 e,1,GJ 581,M3.0 V
308,GJ 625 b,1,GJ 625,M2
309,GJ 649 b,1,GJ 649,M1.5
310,GJ 667 C b,3,GJ 667 C,M1.5 V
311,GJ 667 C c,3,GJ 667 C,M1.5 V
312,GJ 674 b,1,GJ 674,M2.5
313,GJ 676 A b,2,GJ 676 A,M0 V
315,GJ 676 A d,2,GJ 676 A,M0 V
316,GJ 676 A e,2,GJ 676 A,M0 V
318,GJ 682 b,1,GJ 682,M3.5 V
319,GJ 682 c,1,GJ 682,M3.5 V
320,GJ 685 b,1,GJ 685,M0.5
321,GJ 687 b,1,GJ 687,M3 V
323,GJ 720 A b,2,GJ 720 A,M0.5 V
324,GJ 724 b,1,GJ 724,M1.0 V
325,GJ 740 b,1,GJ 740,M1.0 V
326,GJ 806 b,1,GJ 806,M1.5 V
327,GJ 806 c,1,GJ 806,M1.5 V
328,GJ 832 b,1,GJ 832,M1 V
329,GJ 849 b,1,GJ 849,M3 V
330,GJ 849 c,1,GJ 849,M3.5
332,GJ 876 b,1,GJ 876,M4 V
333,GJ 876 c,1,GJ 876,M4 V
334,GJ 876 d,1,GJ 876,M4 V
336,GJ 887 b,1,GJ 887,M1 V
337,GJ 887 c,1,GJ 887,M1 V
338,GJ 887 d,1,GJ 887,M1 V
339,GJ 887 e,1,GJ 887,M1 V
340,GJ 896 A b,2,GJ 896 A,M3.5 V
341,GJ 900 b,3,GJ 900 A,K7
342,GJ 9066 c,1,GJ 9066,M4.5 V
344,GJ 96 b,1,GJ 96,M2
345,GJ 9689 b,1,GJ 9689,M0.5
347,GJ 9773 b,1,GJ 9773,M3.0 V
348,GJ 9827 b,1,GJ 9827,K6 V
349,GJ 9827 c,1,GJ 9827,K6 V
350,GJ 9827 d,1,GJ 9827,K5 V
351,GPX-1 b,1,GPX-1,F2
352,GQ Lup b,1,GQ Lup,K7e V
353,GSC 06214-00210 b,1,GSC 06214-00210,M1
354,GU Psc b,1,GU Psc,M3
360,Gl 378 b,1,Gl 378,M1
362,Gl 49 b,2,Gl 49,M1.5 V
363,Gl 686 b,1,Gl 686,M1
364,Gl 725 A b,2,Gl 725 A,M3
365,Gliese 12 b,1,Gliese 12,M3.0 V
366,HAT-P-1 b,2,HAT-P-1,G0 V
367,HAT-P-11 b,1,HAT-P-11,K4
368,HAT-P-11 c,1,HAT-P-11,K4
369,HAT-P-12 b,1,HAT-P-12,K4
370,HAT-P-13 b,1,HAT-P-13,G4
371,HAT-P-13 c,1,HAT-P-13,G4
372,HAT-P-14 b,2,HAT-P-14,F5 V
373,HAT-P-15 b,1,HAT-P-15,G5
374,HAT-P-16 b,3,HAT-P-16,F8
375,HAT-P-17 b,1,HAT-P-17,K
376,HAT-P-17 c,1,HAT-P-17,K
377,HAT-P-18 b,1,HAT-P-18,K2
378,HAT-P-19 b,1,HAT-P-19,K1
379,HAT-P-2 b,1,HAT-P-2,F8
381,HAT-P-20 b,1,HAT-P-20,K3 V
382,HAT-P-21 b,1,HAT-P-21,G3
383,HAT-P-22 b,2,HAT-P-22,G5
384,HAT-P-23 b,1,HAT-P-23,G0 V
385,HAT-P-24 b,2,HAT-P-24,F8
386,HAT-P-25 b,1,HAT-P-25,G5
387,HAT-P-26 b,1,HAT-P-26,K1
388,HAT-P-27 b,2,HAT-P-27,G8
389,HAT-P-28 b,1,HAT-P-28,G3
390,HAT-P-29 b,2,HAT-P-29,F8
391,HAT-P-3 b,2,HAT-P-3,K
395,HAT-P-33 b,2,HAT-P-33,F4
398,HAT-P-36 b,1,HAT-P-36,G5 V
402,HAT-P-4 b,2,HAT-P-4,F
411,HAT-P-49 b,1,HAT-P-49,F
412,HAT-P-5 b,1,HAT-P-5,G
420,HAT-P-57 b,3,HAT-P-57,A8 V
429,HAT-P-65 b,1,HAT-P-65,G2
430,HAT-P-66 b,1,HAT-P-66,G0
432,HAT-P-68 b,1,HAT-P-68,K
434,HAT-P-7 b,3,HAT-P-7,F6 V
440,HATS-11 b,1,HATS-11,G0
441,HATS-12 b,1,HATS-12,F
444,HATS-15 b,1,HATS-15,G9 V
445,HATS-16 b,1,HATS-16,G3 V
446,HATS-17 b,1,HATS-17,G V
447,HATS-18 b,1,HATS-18,G V
448,HATS-2 b,1,HATS-2,K
449,HATS-22 b,1,HATS-22,K V
450,HATS-23 b,1,HATS-23,G V
451,HATS-24 b,1,HATS-24,F V
452,HATS-25 b,1,HATS-25,G
453,HATS-26 b,1,HATS-26,F
454,HATS-27 b,1,HATS-27,F
455,HATS-28 b,1,HATS-28,G
456,HATS-29 b,1,HATS-29,G
457,HATS-3 b,1,HATS-3,F
458,HATS-30 b,2,HATS-30,G
464,HATS-36 b,1,HATS-36,G0 V
468,HATS-4 b,1,HATS-4,G
479,HATS-5 b,1,HATS-5,G
484,HATS-54 b,1,HATS-54,G6 V
491,HATS-6 b,1,HATS-6,M1 V
502,HATS-7 b,1,HATS-7,K2
504,HATS-71 b,1,HATS-71,M3 V
512,HD 100508 b,1,HD 100508,K1 IV
513,HD 100655 b,2,HD 100655,G9 III
514,HD 100777 b,1,HD 100777,G8 V
517,HD 10180 c,1,HD 10180,G1 V
518,HD 10180 d,1,HD 10180,G1 V
519,HD 10180 e,1,HD 10180,G1 V
520,HD 10180 f,1,HD 10180,G1 V
521,HD 10180 g,1,HD 10180,G1 V
522,HD 10180 h,1,HD 10180,G1 V
523,HD 101930 b,2,HD 101930,K1 V
524,HD 102117 b,1,HD 102117,G6 V
525,HD 102195 b,1,HD 102195,K0 V
526,HD 102272 b,1,HD 102272,K0
529,HD 102843 b,1,HD 102843,K0 V
530,HD 102888 b,1,HD 102888,G8 III
533,HD 103720 b,1,HD 103720,K3 V
534,HD 103774 b,2,HD 103774,F5 V
535,HD 103891 b,1,HD 103891,F8 V
536,HD 103949 b,1,HD 103949,K3 V
537,HD 104067 b,1,HD 104067,K2 V
539,HD 10442 b,1,HD 10442,K0 IV
540,HD 104985 b,1,HD 104985,G9 III
543,HD 105779 b,1,HD 105779,G2
544,HD 106252 b,1,HD 106252,G0
545,HD 106270 b,1,HD 106270,G5 IV
546,HD 106315 b,1,HD 106315,F5 V
547,HD 106315 c,1,HD 106315,F5 V
548,HD 10647 b,1,HD 10647,F9 V
549,HD 106515 A b,2,HD 106515 A,G5 V
550,HD 106906 b,1,HD 106906,F5 V
551,HD 10697 b,1,HD 10697,G3 V
555,HD 108202 b,1,HD 108202,K4/5 V
556,HD 108236 b,1,HD 108236,G3 V
557,HD 108236 c,1,HD 108236,G3 V
558,HD 108236 e,1,HD 108236,G3 V
560,HD 108341 b,2,HD 108341,K2 V
562,HD 108874 b,1,HD 108874,G5
563,HD 108874 c,1,HD 108874,G5
564,HD 109246 b,1,HD 109246,G0 V
565,HD 109271 b,1,HD 109271,G5 V
566,HD 109271 c,1,HD 109271,G5 V
567,HD 109286 b,1,HD 109286,G4 V
568,HD 109749 b,2,HD 109749,G3 V
569,HD 10975 b,1,HD 10975,K0 III
573,HD 110014 b,1,HD 110014,K2 III
574,HD 110067 b,3,HD 110067,K0.0 V
575,HD 110067 c,3,HD 110067,K0.0 V
576,HD 110067 d,3,HD 110067,K0.0 V
577,HD 110067 e,3,HD 110067,K0.0 V
578,HD 110067 f,3,HD 110067,K0.0 V
579,HD 110067 g,3,HD 110067,K0.0 V
580,HD 110082 b,2,HD 110082,F8 V
581,HD 110113 b,1,HD 110113,G
582,HD 110113 c,1,HD 110113,G
585,HD 111232 b,1,HD 111232,G5 V
586,HD 111232 c,1,HD 111232,G8 V
588,HD 111998 b,1,HD 111998,F5 V
589,HD 112300 b,1,HD 112300,M1 III
590,HD 112570 b,1,HD 112570,K0 III
591,HD 112640 b,1,HD 112640,K0 III
592,HD 113337 b,3,HD 113337,F6 V
595,HD 113538 b,1,HD 113538,K9 V
596,HD 113538 c,1,HD 113538,K9 V
598,HD 114082 b,1,HD 114082,F3 V
599,HD 114386 b,1,HD 114386,K3 VC
600,HD 114386 c,1,HD 114386,K3 VC
601,HD 114729 b,2,HD 114729,G0 V
602,HD 114783 b,1,HD 114783,K0
603,HD 114783 c,1,HD 114783,K1 V
605,HD 11506 b,1,HD 11506,G0 V
606,HD 11506 c,1,HD 11506,G0 V
607,HD 11506 d,1,HD 11506,G0 V
610,HD 115954 b,1,HD 115954,G5 V
613,HD 117207 b,1,HD 117207,G7 IV-V
614,HD 11755 b,1,HD 11755,G5
615,HD 117618 b,1,HD 117618,G2 V
616,HD 118203 b,1,HD 118203,K0
617,HD 118203 c,1,HD 118203,K0 IV
621,HD 120084 b,1,HD 120084,G7 III
626,HD 124330 b,1,HD 124330,G4 IV
627,HD 12484 b,1,HD 12484,F8
629,HD 125390 b,1,HD 125390,G7 V
630,HD 125595 b,1,HD 125595,K4 V
631,HD 125612 b,2,HD 125612,G3 V
632,HD 125612 c,2,HD 125612,G3 V
633,HD 125612 d,2,HD 125612,G3 V
634,HD 12648 b,1,HD 12648,G5
640,HD 128311 b,1,HD 128311,K0
641,HD 128311 c,1,HD 128311,K0 V
642,HD 128356 b,1,HD 128356,K3 V
644,HD 129445 b,1,HD 129445,G6 V
645,HD 130322 b,1,HD 130322,K0 V
649,HD 132406 b,1,HD 132406,G0 V
651,HD 133131 A b,2,HD 133131 A,G2 V
652,HD 133131 A c,2,HD 133131 A,G2 V
653,HD 133131 B b,2,HD 133131 B,G2 V
654,HD 134060 b,1,HD 134060,G3 IV
655,HD 134060 c,1,HD 134060,G3 IV
661,HD 134987 b,1,HD 134987,G5 V
662,HD 134987 c,1,HD 134987,G5 V
663,HD 135344 A b,2,HD 135344 A,A0 V
664,HD 135625 b,1,HD 135625,G3 IV/V
667,HD 136118 b,1,HD 136118,F7 V
668,HD 136352 b,1,HD 136352,G4 V
669,HD 136352 c,1,HD 136352,G4 V
670,HD 136352 d,1,HD 136352,G4 V
675,HD 137496 b,1,HD 137496,G
676,HD 137496 c,1,HD 137496,G
677,HD 13808 b,1,HD 13808,K2 V
678,HD 13808 c,1,HD 13808,K2 V
679,HD 13908 b,1,HD 13908,F8 V
680,HD 13908 c,1,HD 13908,F8 V
681,HD 13931 b,1,HD 13931,G0
682,HD 139357 b,1,HD 139357,K4 III
684,HD 14067 b,1,HD 14067,G9 III
685,HD 140901 c,1,HD 140901,G7 IV
687,HD 141399 b,1,HD 141399,K0
688,HD 141399 c,1,HD 141399,K0
689,HD 141399 d,1,HD 141399,K0
690,HD 141399 e,1,HD 141399,K0 V
691,HD 141937 b,1,HD 141937,G2/G3 V
693,HD 142 b,2,HD 142,G1 IV
695,HD 142022 A b,2,HD 142022 A,K0
698,HD 143105 b,1,HD 143105,F5
699,HD 143361 b,1,HD 143361,G6 V
704,HD 145675 c,1,14 Her,K0
705,HD 145934 b,1,HD 145934,K0
706,HD 1461 b,1,HD 1461,G0 V
707,HD 1461 c,1,HD 1461,G0 V
708,HD 147018 b,1,HD 147018,G9 V
709,HD 147018 c,1,HD 147018,G9 V
710,HD 147379 b,2,HD 147379,M0.0 V
712,HD 147873 b,2,HD 147873,G1 V
713,HD 147873 c,2,HD 147873,G1 V
715,HD 148164 b,1,HD 148164,F8
716,HD 148164 c,1,HD 148164,F8
717,HD 149026 b,1,HD 149026,G0
718,HD 149143 b,1,HD 149143,G0
720,HD 150010 b,1,HD 150010,K2 III
722,HD 150706 b,1,HD 150706,G0 V
725,HD 152079 b,1,HD 152079,G6 V
727,HD 152843 b,1,HD 152843,G0
728,HD 152843 c,1,HD 152843,G0
729,HD 15337 b,1,HD 15337,K1 V
730,HD 15337 c,1,HD 15337,K1 V
735,HD 154088 b,1,HD 154088,K0 IV-V
736,HD 154345 b,1,HD 154345,G8
737,HD 154391 b,1,HD 154391,K1 III
738,HD 154672 b,1,HD 154672,G3 IV
739,HD 154857 b,1,HD 154857,G5 V
740,HD 154857 c,1,HD 154857,G5 V
741,HD 155193 b,1,HD 155193,F8 IV
742,HD 155358 b,1,HD 155358,G0
743,HD 155358 c,1,HD 155358,G0
748,HD 156279 b,1,HD 156279,G6
750,HD 156411 b,1,HD 156411,F8 IV/V
753,HD 156846 b,2,HD 156846,G0 V
755,HD 158259 b,1,HD 158259,G0
756,HD 158259 c,1,HD 158259,G0
757,HD 158259 d,1,HD 158259,G0
