,pl_name,sy_snum,discoverymethod,disc_year,pl_radj,pl_bmassj
1465,TRAPPIST-1 h,1,Transit,2017.0,0.06815957,0.0010335750000000001
1466,TYC 8998-760-1 c,1,Imaging,2020.0,1.1,6.0
1467,TrES-1 b,2,Transit,2004.0,1.08,0.752
1468,TrES-2 b,2,Transit,2006.0,1.224,1.204
1469,TrES-3 b,1,Transit,2007.0,1.312,1.91
1470,TrES-4 b,2,Transit,2007.0,1.783,0.897
1471,TrES-5 b,1,Transit,2011.0,1.206,1.79
1472,V1298 Tau b,3,Transit,2019.0,0.85375271,0.340608605
1473,V1298 Tau c,3,Transit,2019.0,0.45660401,0.127393925
1474,V1298 Tau d,3,Transit,2019.0,0.57828429,0.164439055
1475,V1298 Tau e,3,Transit,2019.0,0.89,1.01
1476,V2376 Ori b,1,Imaging,2025.0,7.78,20.0
1477,VHS J125601.92-125723.9 b,2,Imaging,2015.0,1.26,14.0
1478,WASP-1 b,2,Transit,2007.0,1.5035,0.904
1479,WASP-10 b,1,Transit,2008.0,1.08,3.16
1480,WASP-100 b,2,Transit,2014.0,1.69,2.0199999999999996
1481,WASP-101 b,1,Transit,2014.0,1.41,0.5
1482,WASP-102 b,1,Transit,2025.0,1.33,0.622
1483,WASP-103 b,1,Transit,2014.0,1.541,1.47
1484,WASP-104 b,2,Transit,2014.0,1.137,1.27
1485,WASP-105 b,1,Transit,2017.0,0.96,1.8
1486,WASP-106 b,1,Transit,2014.0,1.085,1.925
1487,WASP-107 b,1,Transit,2017.0,0.94060479,0.1195
1488,WASP-108 b,1,Transit,2020.0,1.284,0.892
1489,WASP-11 b,3,Transit,2008.0,0.99,0.53
1490,WASP-110 b,1,Transit,2021.0,1.2075,0.4985
1491,WASP-113 b,1,Transit,2016.0,1.409,0.475
1492,WASP-114 b,2,Transit,2016.0,1.339,1.769
1493,WASP-116 b,1,Transit,2025.0,1.22,0.64
1494,WASP-117 b,1,Transit,2014.0,1.021,0.2761
1495,WASP-118 b,1,Transit,2016.0,1.4169999999999998,0.517
1496,WASP-119 b,1,Transit,2016.0,1.4,1.23
1497,WASP-12 b,3,Transit,2008.0,1.825,1.41
1498,WASP-120 b,1,Transit,2016.0,1.473,4.85
1499,WASP-121 b,1,Transit,2016.0,1.753,1.17
1500,WASP-123 b,2,Transit,2016.0,1.318,0.899
1501,WASP-124 b,1,Transit,2016.0,1.2885,0.5885
1502,WASP-126 b,1,Transit,2016.0,0.96,0.28
1503,WASP-127 b,2,Transit,2016.0,1.3405,0.17235
1504,WASP-129 b,2,Transit,2016.0,0.93,1.0
1505,WASP-13 b,1,Transit,2009.0,1.407,0.5
1506,WASP-130 b,1,Transit,2016.0,0.935,1.24
1507,WASP-131 b,1,Transit,2016.0,1.2229999999999999,0.2715
1508,WASP-132 b,1,Transit,2016.0,0.8855,0.419
1509,WASP-132 c,1,Transit,2022.0,0.16462165,0.06860619999999999
1510,WASP-133 b,1,Transit,2016.0,1.21,1.16
1511,WASP-135 b,1,Transit,2015.0,1.3,1.9
1512,WASP-136 b,1,Transit,2016.0,1.38,1.51
1513,WASP-138 b,1,Transit,2016.0,1.09,1.22
1514,WASP-139 b,2,Transit,2016.0,0.8,0.117
1515,WASP-14 b,3,Transit,2008.0,1.281,7.675
1516,WASP-140 b,2,Transit,2016.0,1.44,2.44
1517,WASP-141 b,1,Transit,2016.0,1.21,2.69
1518,WASP-142 b,1,Transit,2016.0,1.53,0.84
1519,WASP-144 b,1,Transit,2018.0,0.85,0.44
1520,WASP-145 A b,2,Transit,2018.0,0.9,0.89
1521,WASP-147 b,1,Transit,2018.0,1.115,0.275
1522,WASP-148 b,1,Transit,2020.0,0.739,0.2905
1523,WASP-149 b,1,Transit,2025.0,1.36,0.991
1524,WASP-15 b,1,Transit,2009.0,1.41,0.542
1525,WASP-150 b,1,Transit,2020.0,1.07,8.46
1526,WASP-151 b,1,Transit,2017.0,1.1585,0.313
1527,WASP-153 b,1,Transit,2017.0,1.55,0.39
1528,WASP-154 b,1,Transit,2025.0,0.96,0.626
1529,WASP-155 b,1,Transit,2025.0,1.2,0.871
1530,WASP-156 b,1,Transit,2017.0,0.52389279,0.129758755
1531,WASP-157 b,1,Transit,2016.0,1.065,0.574
1532,WASP-158 b,1,Transit,2018.0,1.07,2.79
1533,WASP-159 b,1,Transit,2018.0,1.38,0.55
1534,WASP-16 b,1,Transit,2009.0,1.113,0.8815
1535,WASP-160 B b,2,Transit,2018.0,1.09,0.278
1536,WASP-161 b,1,Transit,2018.0,1.143,2.49
1537,WASP-162 b,1,Transit,2018.0,1.0,5.2
1538,WASP-163 b,1,Transit,2018.0,1.202,1.87
1539,WASP-164 b,1,Transit,2018.0,1.128,2.13
1540,WASP-165 b,1,Transit,2018.0,1.26,0.658
1541,WASP-166 b,1,Transit,2019.0,0.63,0.101
1542,WASP-167 b,1,Transit,2017.0,1.58,8.0
1543,WASP-168 b,2,Transit,2018.0,1.5,0.42
1544,WASP-169 b,1,Transit,2019.0,1.304,0.561
1545,WASP-17 b,1,Transit,2009.0,1.911,0.488
1546,WASP-170 b,1,Transit,2018.0,1.096,1.6
1547,WASP-171 b,1,Transit,2019.0,0.98,1.084
1548,WASP-172 b,1,Transit,2018.0,1.57,0.47
1549,WASP-173 A b,2,Transit,2018.0,1.2,3.69
1550,WASP-174 b,1,Transit,2018.0,1.3685,0.8150000000000001
1551,WASP-175 b,1,Transit,2019.0,1.208,0.99
1552,WASP-176 b,1,Transit,2020.0,1.505,0.855
1553,WASP-177 b,1,Transit,2019.0,1.58,0.508
1554,WASP-178 b,1,Transit,2019.0,1.875,1.535
1555,WASP-18 b,2,Transit,2009.0,1.178,10.335
1556,WASP-180 A b,2,Transit,2019.0,1.24,0.9
1557,WASP-181 b,1,Transit,2019.0,1.184,0.299
1558,WASP-182 b,1,Transit,2019.0,0.85,0.148
1559,WASP-183 b,1,Transit,2019.0,1.47,0.502
1560,WASP-184 b,1,Transit,2019.0,1.33,0.57
1561,WASP-185 b,1,Transit,2019.0,1.25,0.98
1562,WASP-186 b,1,Transit,2020.0,1.11,4.22
1563,WASP-187 b,1,Transit,2020.0,1.64,0.8
1564,WASP-188 b,1,Transit,2025.0,1.322,1.443
1565,WASP-189 b,1,Transit,2020.0,1.619,1.99
1566,WASP-19 b,1,Transit,2009.0,1.3935,1.1469999999999998
1567,WASP-190 b,1,Transit,2019.0,1.15,1.0
1568,WASP-192 b,1,Transit,2019.0,1.23,2.3
1569,WASP-193 b,2,Transit,2023.0,1.3915,0.1255
1570,WASP-194 b,1,Transit,2025.0,1.381,1.174
1571,WASP-195 b,1,Transit,2025.0,0.92,0.104
1572,WASP-197 b,1,Transit,2025.0,1.289,1.269
1573,WASP-2 b,2,Transit,2007.0,1.071,0.88
1574,WASP-20 b,2,Transit,2015.0,1.462,0.311
1575,WASP-21 b,1,Transit,2010.0,1.15,0.295
1576,WASP-22 b,1,Transit,2010.0,1.158,0.588
1577,WASP-23 b,1,Transit,2010.0,0.962,0.8815
